id,order_id,sku
2e3cb58a-c73c-4216-9d70-66e91bb2ca32,9bed808a-5074-4dfb-b1eb-388e2e60a6da,BEV-004
0d005cee-30f1-4426-a786-833fcc77ae34,b83630c1-0fdc-4cd2-818d-0b6d4384ce86,BEV-004
0b8661ef-9337-44cd-a12d-f2aa9badda01,3b4a03db-7b23-4673-a88a-7f51b01ca497,BEV-004
0e6118fd-4563-4feb-9cee-9a40135db550,3368b213-6687-4338-bf73-b927ae72340f,BEV-003
b7b8e822-c78f-482b-8a18-8a86ad6d281e,739bf2f3-8d20-4159-9124-5451f1e4b136,BEV-005
9e0a7877-dbd8-4eb6-ab27-44cf220346d5,739bf2f3-8d20-4159-9124-5451f1e4b136,BEV-004
a171ef42-80ea-46d0-a2d4-e2d6ce2351bd,1d81152e-23a9-4ec0-a4ce-e76fc352e6f5,BEV-002
78ec103c-f5c4-4294-b472-38705b5c48b1,de99d8c9-0128-4188-88f7-e44364e8161b,BEV-001
183a9d83-7ea9-43bf-b2ee-8e60cd21739c,4bb7a9cc-61f6-4ddf-809e-6e483af920da,BEV-005
91ec32c2-a1d9-4d01-8a60-828d4b321290,3cd8c16e-ba1a-4e32-9fec-2bf03997e063,BEV-001
68034996-a9b2-4992-89ac-3a57770eaf2e,3cd8c16e-ba1a-4e32-9fec-2bf03997e063,BEV-001
3117986f-f271-4cc1-8743-2f12adc9dd02,3cd8c16e-ba1a-4e32-9fec-2bf03997e063,JAF-004
6242b08a-cb76-43d3-975c-2a00b696273c,6b368db3-7c1a-4e39-8c3a-f31b33a62b81,BEV-004
56685c85-095b-4ec9-b9a3-17cee5a45b60,858944f4-04c5-4997-9572-ca8f0c21a34e,BEV-002
018ab58c-013e-424a-b7a6-816a91d7aafa,bc68477b-4ec1-4f03-b995-7cb63a416ff7,BEV-001
a513d940-619b-4211-b3a5-9f7d9a8052e8,bc68477b-4ec1-4f03-b995-7cb63a416ff7,BEV-002
11aff541-e4fd-415d-915a-8f06614d5800,794c6b62-8a7e-4544-8c33-787526954ea9,BEV-004
d43bb3eb-ae9c-4907-a6ef-64a0f413ed47,73722d30-f481-4e28-bf1d-7e329a44821a,BEV-003
85308ffb-989c-4faf-a7cd-333105bf77f9,855a3a5a-bbfc-48eb-a5d6-65210b31fc3e,BEV-004
064b047b-54fa-4f12-abb0-32d8d84f95c9,855a3a5a-bbfc-48eb-a5d6-65210b31fc3e,BEV-005
60a2525a-8674-4a4b-8b67-c63432e796a1,d6287f02-006c-4d86-ba3f-bb97df240f0b,BEV-001
fe64a230-861f-4d17-b753-a0601173ec7c,d6287f02-006c-4d86-ba3f-bb97df240f0b,BEV-001
7483dfd8-e324-4eae-9aa7-5ea2e7653c79,d6287f02-006c-4d86-ba3f-bb97df240f0b,BEV-002
919199b4-0f92-4644-a65a-02d81da2b6d5,b8f5588c-ae9e-444a-af90-706002f0827f,BEV-001
5fea7daf-5f78-4bb8-8a18-1a708279d869,d1f4fa79-94fd-456c-a45e-f4e36eb682b1,BEV-003
fdf0fc88-2f76-4b23-a6ce-e9e415b6843c,bb3b4aee-7798-45b1-a7bc-e01dfac27712,BEV-004
29a4e65a-42c4-4508-9408-ab84c6d91b98,b18e35cc-6763-46e5-8f1c-219ff503eed1,BEV-005
fe1ca3cc-6e23-43ee-aaa1-48dbd48ee861,b18e35cc-6763-46e5-8f1c-219ff503eed1,BEV-003
bf98e4f9-e2a4-48ad-b2d1-c6a8cd05da8c,b18e35cc-6763-46e5-8f1c-219ff503eed1,JAF-003
be5b44f1-af06-4a3d-b029-2ea2cc3dc889,761784c2-53b8-40d5-ba86-e9bfabbcbe2a,BEV-003
d4c2fa03-a822-443c-afa4-7f34d584ce37,68b3304b-ccc6-4782-95c7-2c9eaf137684,BEV-004
312f8dd0-8993-4d77-84f7-595a95ea8d61,2751ae3f-c2ec-4e5c-bdca-26413f0aa6f5,BEV-005
0b24b373-9297-4edc-9f76-5b5b67d9ceb7,0f04c8bd-b44f-4593-9520-752bddd6a132,BEV-004
9586013a-9bb0-4a0d-8a90-36d8d0afda79,1c7f2b68-7072-4b86-b6b6-61cbbb7eeb8d,BEV-005
1096e88c-ef65-46cb-b52d-ba158a16d77e,1b8c7237-53f8-490a-98d5-6d797db4e72f,BEV-002
8a47d1b9-5571-466f-ae61-045da0c9c4d2,5cb4bf6b-c29b-4451-9bbf-27c112385a43,BEV-004
25a6a5cf-1675-442e-bd4c-ca62b2250727,e6beb067-46a2-4cc3-8828-9166c1dd5074,BEV-002
0b279f27-5c5d-4f3b-b65b-50c0545ccc5b,e6b014b6-be80-40bc-846e-3adeaca26aa4,BEV-004
68272824-0c50-4983-a867-08014a69e235,95e7cad8-919c-4a99-8141-9dcebd51b6cf,BEV-005
d0b190bb-33fd-4c55-bbf4-30972c41a9af,43443c2f-6eb7-4dbf-86e9-a0ed286d161c,BEV-003
d583a01e-6830-4e92-80d6-27f401dd82bc,765493a5-6298-4d8b-873b-c043931b6a35,BEV-004
fabe5276-ef08-4499-abc8-778f7027ce71,765493a5-6298-4d8b-873b-c043931b6a35,BEV-001
