id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
9bed808a-5074-4dfb-b1eb-388e2e60a6da,50a2d1c4-d788-4498-a6f7-dd75d4db588f,2024-09-01T15:01:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
b83630c1-0fdc-4cd2-818d-0b6d4384ce86,438005c2-dd1d-48aa-8bfd-7fb06851b5f8,2024-09-01T10:39:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
3b4a03db-7b23-4673-a88a-7f51b01ca497,5261268c-aa94-438a-921a-05efc0d414ac,2024-09-01T07:46:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
3368b213-6687-4338-bf73-b927ae72340f,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,2024-09-01T14:39:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
739bf2f3-8d20-4159-9124-5451f1e4b136,341ed9b2-1760-4720-a1b1-42681d273c63,2024-09-01T10:57:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,1100,65,1165
1d81152e-23a9-4ec0-a4ce-e76fc352e6f5,2660b7ac-6c46-4392-8ddc-26194c532341,2024-09-01T08:18:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,500,30,530
de99d8c9-0128-4188-88f7-e44364e8161b,7e52ce3f-191d-4d27-a0a8-76706fd6173c,2024-09-01T11:57:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
4bb7a9cc-61f6-4ddf-809e-6e483af920da,0000bd8e-496c-42aa-9430-fea7f9bd6a96,2024-09-01T07:29:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,400,24,424
3cd8c16e-ba1a-4e32-9fec-2bf03997e063,3b47f466-5256-41a1-951c-efee13597676,2024-09-01T14:06:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,2600,156,2756
6b368db3-7c1a-4e39-8c3a-f31b33a62b81,2480125c-2d37-405c-96b9-ca32b2c75b33,2024-09-01T11:08:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
858944f4-04c5-4997-9572-ca8f0c21a34e,69731d27-9caa-46cf-8933-d01e29b20043,2024-09-01T14:40:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,500,30,530
bc68477b-4ec1-4f03-b995-7cb63a416ff7,7d0a9ece-1d73-43ea-98e7-8bbe21e890ec,2024-09-01T13:10:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,1100,65,1165
794c6b62-8a7e-4544-8c33-787526954ea9,861181e6-5d97-48a8-bbe4-226caa976140,2024-09-01T07:53:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
73722d30-f481-4e28-bf1d-7e329a44821a,cc1816db-c3dd-4c16-8ea7-18fe313472b9,2024-09-01T07:01:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
855a3a5a-bbfc-48eb-a5d6-65210b31fc3e,1bf35f99-4627-4c80-a5f8-0797538eaf54,2024-09-01T11:15:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,1100,65,1165
d6287f02-006c-4d86-ba3f-bb97df240f0b,96f4e93c-c759-4fc7-b4a3-c8a153858bea,2024-09-01T14:20:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,1700,102,1802
b8f5588c-ae9e-444a-af90-706002f0827f,6faa20a4-1e8f-43a8-9a45-33ae5f675190,2024-09-01T08:47:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
d1f4fa79-94fd-456c-a45e-f4e36eb682b1,5bbca380-854e-47a4-ae5c-fd631650a115,2024-09-01T08:05:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
bb3b4aee-7798-45b1-a7bc-e01dfac27712,84ee8f13-e5a2-4988-8f65-daa65801c5d1,2024-09-01T08:15:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
b18e35cc-6763-46e5-8f1c-219ff503eed1,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,2024-09-01T12:25:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,2200,131,2331
761784c2-53b8-40d5-ba86-e9bfabbcbe2a,3f1fc492-e8ed-4840-97a0-a56592fdc1d9,2024-09-01T13:09:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
68b3304b-ccc6-4782-95c7-2c9eaf137684,3483e39a-260f-4974-9366-50c2d833307f,2024-09-01T07:23:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
2751ae3f-c2ec-4e5c-bdca-26413f0aa6f5,0b4a904c-b6d7-4355-b1ff-3744b3831112,2024-09-01T12:20:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,400,24,424
0f04c8bd-b44f-4593-9520-752bddd6a132,3c7a4cde-d92b-4d90-a731-9c0461ae8c90,2024-09-01T08:11:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
1c7f2b68-7072-4b86-b6b6-61cbbb7eeb8d,9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb,2024-09-01T08:19:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,400,24,424
1b8c7237-53f8-490a-98d5-6d797db4e72f,bbe9e834-7071-42d6-8970-aa7301b72ec2,2024-09-01T09:16:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,500,30,530
5cb4bf6b-c29b-4451-9bbf-27c112385a43,a311b0c8-1b63-4405-8097-09a984512389,2024-09-01T08:07:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
e6beb067-46a2-4cc3-8828-9166c1dd5074,24ea0325-a7d6-4388-b86c-7b51e5805b26,2024-09-01T11:59:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,500,30,530
e6b014b6-be80-40bc-846e-3adeaca26aa4,d6de888a-0aee-4f77-a7d4-daba8f0da415,2024-09-01T07:29:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
95e7cad8-919c-4a99-8141-9dcebd51b6cf,3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b,2024-09-01T17:01:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,400,24,424
43443c2f-6eb7-4dbf-86e9-a0ed286d161c,5ed25035-4723-4154-823d-a8c8b4c02e51,2024-09-01T08:17:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
765493a5-6298-4d8b-873b-c043931b6a35,531465bc-638f-4adb-9b47-cf0c1dc55550,2024-09-01T13:27:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,2700,162,2862
4ca395d5-b519-45c1-9ff8-e53637ae0dc7,d47a83f3-a765-4a20-b40c-e0993cf00e4f,2024-09-01T07:54:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
71a115a9-a593-4f75-94ae-e82fa3f802ba,4b8b181e-668e-45d4-a8e3-7180a41cf064,2024-09-01T13:33:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
9b5e47b5-eb4d-4d4c-bfff-165c40dc875d,6d91807a-84e4-47c1-8e47-925d52e0dd48,2024-09-01T09:44:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,1800,108,1908
672dc7f6-f5b7-4e0e-8dc3-21c70cc9dff9,848485f0-198f-4efa-8335-707db71a7434,2024-09-01T08:45:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
98225736-89cd-47dd-916f-8317a0287cc9,90b6264d-1278-47c8-a418-6498aac365ba,2024-09-01T12:00:00,4b6c2304-2b9e-41e4-942a-cf11a1819378,1100,65,1165
